2020-05-15 10:01:59.859 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-15 10:02:00.287 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-15 10:02:00.304 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:02:00.304 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2020-05-15 10:02:00.305 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:02:00.783 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - Started CloudMessagemachineApplicationTests in 5.539 seconds (JVM running for 7.749)
2020-05-15 10:02:00.788 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-localhost_8848] [subscribe] null.properties+DEFAULT_GROUP
2020-05-15 10:02:00.789 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=null.properties, group=DEFAULT_GROUP, cnt=1
2020-05-15 10:02:01.297 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-15 10:02:01.299 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-05-15 10:03:01.541 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-05-15 10:03:01.544 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-15 10:08:09.036 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:08:09.589 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/lizhengyu/nacos/config
2020-05-15 10:08:09.705 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2020-05-15 10:08:09.799 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='null.properties,DEFAULT_GROUP'}]}
2020-05-15 10:08:09.875 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - No active profile set, falling back to default profiles: default
2020-05-15 10:08:10.936 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-15 10:08:10.941 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-15 10:08:10.984 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24ms. Found 0 Redis repository interfaces.
2020-05-15 10:08:11.346 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=46e7a28f-0c66-313e-a2f4-10703563cb1c
2020-05-15 10:08:11.669 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:08:12.616 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:08:12.626 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:08:13.215 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-15 10:08:13.642 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-15 10:08:13.662 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:08:13.663 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2020-05-15 10:08:13.663 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:08:14.146 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - Started CloudMessagemachineApplicationTests in 6.709 seconds (JVM running for 8.753)
2020-05-15 10:08:14.150 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-localhost_8848] [subscribe] null.properties+DEFAULT_GROUP
2020-05-15 10:08:14.151 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=null.properties, group=DEFAULT_GROUP, cnt=1
2020-05-15 10:08:14.717 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-15 10:08:14.719 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-05-15 10:08:24.904 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-05-15 10:08:24.908 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-15 10:16:07.483 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:16:07.927 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/lizhengyu/nacos/config
2020-05-15 10:16:08.000 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2020-05-15 10:16:08.068 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='null.properties,DEFAULT_GROUP'}]}
2020-05-15 10:16:08.084 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - No active profile set, falling back to default profiles: default
2020-05-15 10:16:09.465 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-15 10:16:09.471 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-15 10:16:09.513 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 0 Redis repository interfaces.
2020-05-15 10:16:10.055 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=46e7a28f-0c66-313e-a2f4-10703563cb1c
2020-05-15 10:16:10.467 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:16:11.852 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:16:11.862 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:16:12.832 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-15 10:16:13.550 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-15 10:16:13.643 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:16:13.645 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2020-05-15 10:16:13.646 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:16:14.772 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - Started CloudMessagemachineApplicationTests in 9.031 seconds (JVM running for 10.911)
2020-05-15 10:16:14.778 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-localhost_8848] [subscribe] null.properties+DEFAULT_GROUP
2020-05-15 10:16:14.779 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=null.properties, group=DEFAULT_GROUP, cnt=1
2020-05-15 10:16:15.542 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-15 10:16:15.545 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-05-15 10:16:22.936 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-05-15 10:16:22.939 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-15 10:16:32.927 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
